Type of crossover,Generation,Mean,Best 
Elitism Cycle Crossover,87,4.0,4
Order Crossover,88,2.0,2
Cycle Crossover,88,4.0,4
Elitism Order Crossover,88,2.8,2
Elitism Cycle Crossover,88,4.0,4
Order Crossover,89,2.0,2
Cycle Crossover,89,4.0,4
Elitism Order Crossover,89,2.4,2
Elitism Cycle Crossover,89,4.0,4
Order Crossover,90,2.0,2
Cycle Crossover,90,4.0,4
Elitism Order Crossover,90,3.2,4
Elitism Cycle Crossover,90,4.0,4
Order Crossover,91,2.0,2
Cycle Crossover,91,4.0,4
Elitism Order Crossover,91,2.6,4
Elitism Cycle Crossover,91,4.0,4
Order Crossover,92,2.0,2
Cycle Crossover,92,4.0,4
Elitism Order Crossover,92,3.2,2
Elitism Cycle Crossover,92,4.0,4
Order Crossover,93,2.0,2
Cycle Crossover,93,4.0,4
Elitism Order Crossover,93,2.8,4
Elitism Cycle Crossover,93,4.0,4
Order Crossover,94,2.0,2
Cycle Crossover,94,4.0,4
Elitism Order Crossover,94,2.0,2
Elitism Cycle Crossover,94,4.0,4
Order Crossover,95,2.0,2
Cycle Crossover,95,4.0,4
Elitism Order Crossover,95,2.8,4
Elitism Cycle Crossover,95,4.0,4
Order Crossover,96,2.0,2
Cycle Crossover,96,4.0,4
Elitism Order Crossover,96,2.6,2
Elitism Cycle Crossover,96,4.0,4
Order Crossover,97,2.0,2
Cycle Crossover,97,4.0,4
Elitism Order Crossover,97,2.8,2
Elitism Cycle Crossover,97,4.0,4
Order Crossover,98,2.0,2
Cycle Crossover,98,4.0,4
Elitism Order Crossover,98,2.0,2
Elitism Cycle Crossover,98,4.0,4
Order Crossover,99,2.0,2
Cycle Crossover,99,4.0,4
Elitism Order Crossover,99,2.0,2
Elitism Cycle Crossover,99,4.0,4
Order Crossover,100,2.0,2
Cycle Crossover,100,4.0,4
Elitism Order Crossover,100,2.0,2
Elitism Cycle Crossover,100,4.0,4
