Type of crossover,Generation,Mean,Best 
Elitism Cycle Crossover,70,2.44,0
Order Crossover,71,3.64,0
Cycle Crossover,71,1.6,0
Elitism Order Crossover,71,2.5,0
Elitism Cycle Crossover,71,2.1,0
Order Crossover,72,3.94,6
Cycle Crossover,72,1.48,0
Elitism Order Crossover,72,2.2,4
Elitism Cycle Crossover,72,2.06,6
Order Crossover,73,4.28,6
Cycle Crossover,73,1.5,0
Elitism Order Crossover,73,2.38,4
Elitism Cycle Crossover,73,2.08,0
Order Crossover,74,4.24,6
Cycle Crossover,74,2.0,8
Elitism Order Crossover,74,2.42,0
Elitism Cycle Crossover,74,2.2,0
Order Crossover,75,3.96,8
Cycle Crossover,75,2.18,0
Elitism Order Crossover,75,2.48,0
Elitism Cycle Crossover,75,1.98,6
Order Crossover,76,4.34,10
Cycle Crossover,76,1.56,0
Elitism Order Crossover,76,2.4,6
Elitism Cycle Crossover,76,2.18,0
Order Crossover,77,3.74,6
Cycle Crossover,77,2.38,0
Elitism Order Crossover,77,3.32,4
Elitism Cycle Crossover,77,2.16,0
Order Crossover,78,3.62,0
Cycle Crossover,78,1.96,6
Elitism Order Crossover,78,2.2,0
Elitism Cycle Crossover,78,1.68,4
Order Crossover,79,3.34,6
Cycle Crossover,79,2.16,2
Elitism Order Crossover,79,2.9,6
Elitism Cycle Crossover,79,1.94,2
Order Crossover,80,4.04,0
Cycle Crossover,80,2.14,2
Elitism Order Crossover,80,2.18,0
Elitism Cycle Crossover,80,2.18,6
Order Crossover,81,3.5,6
Cycle Crossover,81,2.02,4
Elitism Order Crossover,81,2.78,4
Elitism Cycle Crossover,81,1.94,4
Order Crossover,82,4.4,6
Cycle Crossover,82,1.98,0
Elitism Order Crossover,82,1.86,6
Elitism Cycle Crossover,82,1.88,0
Order Crossover,83,4.18,10
Cycle Crossover,83,1.6,0
Elitism Order Crossover,83,2.52,4
Elitism Cycle Crossover,83,1.94,4
Order Crossover,84,4.24,6
Cycle Crossover,84,2.32,4
Elitism Order Crossover,84,2.28,0
Elitism Cycle Crossover,84,2.24,4
Order Crossover,85,4.46,12
Cycle Crossover,85,2.34,8
Elitism Order Crossover,85,2.44,0
Elitism Cycle Crossover,85,1.62,0
Order Crossover,86,3.92,4
Cycle Crossover,86,1.7,0
Elitism Order Crossover,86,2.62,0
Elitism Cycle Crossover,86,2.34,0
Order Crossover,87,4.58,4
Cycle Crossover,87,1.66,0
Elitism Order Crossover,87,2.54,10
Elitism Cycle Crossover,87,1.72,6
Order Crossover,88,3.68,0
Cycle Crossover,88,1.96,6
Elitism Order Crossover,88,2.56,4
Elitism Cycle Crossover,88,2.36,6
Order Crossover,89,3.78,2
Cycle Crossover,89,1.82,0
Elitism Order Crossover,89,2.52,0
Elitism Cycle Crossover,89,2.72,6
Order Crossover,90,3.6,8
Cycle Crossover,90,2.3,6
Elitism Order Crossover,90,2.34,0
Elitism Cycle Crossover,90,2.32,4
Order Crossover,91,4.3,4
Cycle Crossover,91,1.68,0
Elitism Order Crossover,91,2.74,6
Elitism Cycle Crossover,91,2.26,4
Order Crossover,92,3.88,0
Cycle Crossover,92,2.3,8
Elitism Order Crossover,92,2.16,8
Elitism Cycle Crossover,92,1.96,0
Order Crossover,93,4.62,8
Cycle Crossover,93,1.78,0
Elitism Order Crossover,93,2.54,2
Elitism Cycle Crossover,93,1.74,0
Order Crossover,94,3.68,0
Cycle Crossover,94,1.22,0
Elitism Order Crossover,94,2.5,0
Elitism Cycle Crossover,94,2.12,4
Order Crossover,95,3.66,0
Cycle Crossover,95,1.4,4
Elitism Order Crossover,95,2.98,6
Elitism Cycle Crossover,95,2.18,6
Order Crossover,96,3.98,4
Cycle Crossover,96,1.76,0
Elitism Order Crossover,96,2.42,2
Elitism Cycle Crossover,96,2.08,6
Order Crossover,97,4.24,6
Cycle Crossover,97,1.62,0
Elitism Order Crossover,97,2.42,6
Elitism Cycle Crossover,97,2.38,0
Order Crossover,98,4.12,8
Cycle Crossover,98,1.4,0
Elitism Order Crossover,98,2.92,2
Elitism Cycle Crossover,98,1.6,0
Order Crossover,99,3.74,2
Cycle Crossover,99,2.02,0
Elitism Order Crossover,99,2.32,4
Elitism Cycle Crossover,99,1.62,0
Order Crossover,100,3.78,6
Cycle Crossover,100,1.88,8
Elitism Order Crossover,100,2.12,0
Elitism Cycle Crossover,100,2.34,6
